 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
144,59,3,3,7,23,11,78
106,62,4,3,5,18,14,131
107,43,4,5,7,25,11,67
140,61,3,3,7,24,10,57
92,44,4,5,5,15,18,256
97,50,4,4,5,18,14,135
123,52,4,3,4,13,23,483
134,43,3,4,5,18,17,202
111,56,4,4,6,18,13,111
111,43,4,5,8,28,11,61
146,49,3,4,9,33,10,41
137,48,3,4,5,16,15,199
138,53,3,3,14,45,7,18
121,49,4,4,6,27,12,86
142,55,3,4,10,35,9,30
118,55,3,3,6,21,13,100
113,53,4,3,5,16,17,227
104,55,4,3,6,25,12,75
140,55,3,3,13,42,8,22
103,45,5,8,31,65,6,7
104,55,4,3,7,27,10,56
109,45,4,4,7,24,11,72
99,46,4,4,5,16,15,181
121,57,4,3,10,28,8,29
110,60,4,3,6,22,13,100
116,54,4,3,12,41,8,25
134,56,4,4,6,19,13,119
123,56,3,3,6,20,13,98
127,55,4,3,6,20,14,116
106,53,4,4,5,20,16,175
114,45,4,4,5,17,18,235
103,47,4,4,4,13,24,479
132,56,3,3,6,16,13,145
146,57,3,3,8,31,10,49
125,51,4,4,6,24,13,103
106,52,4,3,5,17,15,176
151,57,3,3,6,21,12,96
112,38,4,5,7,27,11,64
111,41,4,5,5,16,18,256
122,49,3,4,6,18,13,122
142,52,3,3,6,22,12,87
120,51,4,3,7,22,11,63
124,49,4,4,5,17,17,216
125,57,4,3,6,20,12,95
129,55,4,3,5,16,18,232
111,52,4,4,5,17,13,132
110,47,4,5,5,21,16,156
110,49,4,4,5,16,17,213
129,56,4,3,8,33,10,44
117,53,4,3,6,18,13,117
138,55,3,3,5,17,17,212
109,49,4,4,8,27,10,50
99,48,4,4,6,21,13,101
123,51,4,4,4,13,22,445
140,55,3,3,4,13,22,435
116,59,4,3,7,23,11,62
112,56,4,4,6,20,13,118
117,53,4,4,5,17,18,220
145,54,4,3,6,20,12,89
140,53,4,3,5,16,17,218
87,40,4,6,8,27,11,57
31,32,9,41,77,66,5,5
139,55,4,3,24,56,6,10
116,52,4,4,6,21,13,104
130,57,4,3,5,17,17,190
121,51,4,3,5,18,18,212
147,53,3,3,7,25,11,63
105,43,4,5,8,30,10,43
123,57,4,3,8,28,10,48
127,54,3,4,5,14,18,292
106,52,4,4,6,17,13,120
123,57,4,3,6,21,12,85
132,58,3,3,6,21,12,98
132,50,3,3,8,26,10,50
119,44,4,4,15,43,7,16
140,48,3,4,6,18,14,132
139,52,4,3,12,35,8,21
117,56,4,3,8,30,10,51
111,49,4,4,5,19,15,154
128,61,3,3,8,31,10,41
123,50,4,4,7,22,10,54
152,55,3,3,5,16,16,205
113,57,4,3,8,29,10,50
116,50,4,4,5,15,18,277
132,49,4,3,6,19,12,99
144,52,4,4,6,23,13,102
91,55,5,4,19,54,7,12
136,46,4,4,5,17,14,144
108,49,4,4,5,19,15,154
126,57,3,3,6,19,13,121
118,45,4,4,6,24,13,92
116,42,4,5,6,22,11,75
27,33,9,39,150,86,3,2
98,39,5,7,10,33,9,32
141,50,4,3,63,81,4,2
127,57,4,3,4,14,21,343
74,39,5,8,7,23,11,75
133,48,4,4,7,25,11,60
101,51,4,4,8,30,10,53
105,50,4,4,5,20,14,131
127,49,4,4,36,69,5,4
107,49,4,4,15,43,7,15
111,54,4,4,6,23,14,117
117,46,4,4,6,21,11,71
100,45,4,4,6,21,13,101
134,53,4,3,5,15,15,202
122,49,4,4,7,22,11,67
86,42,4,6,5,17,15,159
129,59,3,3,8,34,10,45
144,43,4,4,6,20,12,89
39,34,8,28,38,66,5,6
144,48,4,4,8,29,9,36
125,52,4,3,9,31,10,44
139,51,3,3,8,29,11,55
124,54,4,3,10,35,9,29
118,48,4,4,4,16,19,252
112,50,4,4,6,20,13,109
98,47,4,4,9,31,9,36
144,61,3,3,17,46,7,14
84,38,4,8,6,21,12,80
101,46,4,4,5,20,15,150
129,46,4,4,6,24,12,85
88,42,4,5,5,17,15,165
147,52,3,3,7,30,11,56
85,38,4,7,7,24,12,83
94,45,4,5,5,18,14,132
121,44,4,4,5,17,18,236
95,52,4,4,5,16,15,178
125,49,4,4,6,22,12,86
112,51,4,3,5,17,14,147
90,42,4,6,9,33,9,32
116,49,4,4,5,20,15,147
22,33,10,48,54,70,5,5
93,50,4,4,6,17,13,133
130,64,4,3,70,89,4,2
166,47,3,4,7,29,11,62
136,53,4,3,6,17,14,155
103,45,4,4,8,33,10,46
111,48,4,4,6,20,12,83
128,52,3,4,5,15,17,236
138,55,3,4,6,19,12,94
135,58,3,3,5,18,14,131
109,56,4,3,7,26,11,65
121,62,4,3,5,20,15,143
139,54,4,3,5,20,15,143
48,49,6,12,180,63,2,6
30,38,8,28,187,83,2,4
124,54,3,3,7,27,11,56
134,54,3,3,8,29,10,51
137,50,3,4,6,16,14,163
105,47,4,4,6,25,12,81
124,49,4,4,6,23,13,94
150,48,3,4,5,15,16,210
135,57,4,3,6,18,12,101
97,43,4,5,5,19,15,167
111,62,4,3,22,57,6,10
108,51,4,4,4,14,22,405
98,43,4,5,6,19,13,126
108,41,4,5,5,17,15,169
132,59,3,3,7,23,11,63
103,52,4,4,6,15,15,211
137,56,3,3,31,70,6,6
134,49,4,4,6,22,11,70
101,39,4,6,6,23,12,85
155,48,4,4,6,23,13,94
88,42,4,5,6,20,12,90
137,60,4,3,6,22,13,103
123,48,3,4,6,21,13,110
112,44,4,5,6,21,12,92
138,59,3,3,7,21,12,92
110,47,4,4,6,21,12,82
128,56,3,3,14,40,7,17
154,48,3,4,7,25,10,54
141,49,3,4,13,41,8,19
121,51,4,4,7,25,11,69
114,46,3,4,5,19,17,198
101,51,4,4,6,17,13,129
129,47,4,4,9,32,9,36
52,40,6,14,45,66,5,5
133,53,4,3,5,19,14,132
129,59,4,3,6,20,13,110
86,43,4,6,4,17,19,244
118,50,4,3,9,31,9,36
97,38,4,7,6,22,13,92
111,49,4,3,5,14,19,331
148,46,3,4,6,18,15,154
87,36,4,8,5,15,16,203
132,54,4,3,6,18,12,111
105,50,4,3,21,55,6,10
135,57,4,3,7,23,11,69
127,45,4,4,7,23,11,70
123,51,4,3,5,20,14,114
109,57,4,3,6,16,14,156
146,52,3,4,14,43,7,17
127,51,4,4,10,31,9,35
130,56,4,3,27,57,6,8
137,55,3,3,5,17,17,218
127,59,4,3,8,26,10,54
84,41,4,6,5,16,15,184
